## 1.1.1								
## assembly	: /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/renamed_Tethya_minuta_all_LRScaf_2.fasta							
## coverage	 bam0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/sorted_mapped_short_reads_Tethya_minuta.bam							
## taxonomy	 tax0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/modified_megablast.out							
## nodesDB	: None							
## taxrule	: bestsum							
## min_score	: 0.0							
## min_diff	: 0.0							
## tax_collision_random	: False							
##								
scaffold	length	GC_raw	N	coverage	phylum.t.6s	phylum.s.7s	phylum.c.8	GC
Scaffolds_343	5826	0.5644	0	3.2906	Proteobacteria	309	0	56.44
Scaffolds_344	24405	0.5387	0	2.7494	Proteobacteria	520	0	53.87
Scaffolds_345	173949	0.3789	0	21.4079	Chordata	180	0	37.89
Scaffolds_346	28888	0.3622	0	0.0478	Bacteroidetes	1225	0	36.22
Scaffolds_347	21628	0.3702	0	17.325	no-hit	0	0	37.02
Scaffolds_348	1209476	0.6225	0	11.4054	Proteobacteria	2778	0	62.25
Scaffolds_349	17916	0.477	0	3.2507	Chlamydiae	861	0	47.7
Scaffolds_350	5574	0.5832	0	4.0647	Proteobacteria	974	0	58.32
Scaffolds_351	58833	0.6842	0	25.0253	Proteobacteria	3349	0	68.42
Scaffolds_352	13828	0.3728	0	0.0525	Bacteroidetes	1037	0	37.28
Scaffolds_353	50335	0.3296	0	0.1976	Bacteria-undef	2536	0	32.96
Scaffolds_354	18516	0.4018	0	19.3779	no-hit	0	0	40.18
Scaffolds_355	10556	0.4109	0	3.3639	no-hit	0	0	41.09
Scaffolds_356	9802	0.3747	0	22.4178	no-hit	0	0	37.47
Scaffolds_357	23012	0.3832	0	13.4303	no-hit	0	0	38.32
Scaffolds_358	6143	0.3845	0	0.1419	no-hit	0	0	38.45
Scaffolds_359	14976	0.5739	0	25.7768	Proteobacteria	278	0	57.39
Scaffolds_360	11331	0.6247	0	0.141	no-hit	0	0	62.47
Scaffolds_361	28185	0.5924	0	4.3413	Proteobacteria	9046	0	59.24
Scaffolds_362	22077	0.4531	0	6.049	no-hit	0	0	45.31
Scaffolds_363	5842	0.5933	0	4.1144	no-hit	0	0	59.33
Scaffolds_364	19132	0.5659	0	3.5413	Proteobacteria	2209	0	56.59
Scaffolds_365	9146	0.4482	0	4.5813	no-hit	0	0	44.82
Scaffolds_366	16383	0.44	0	3.0495	no-hit	0	0	44
Scaffolds_367	24734	0.3754	0	18.3378	no-hit	0	0	37.54
Scaffolds_368	12748	0.3856	0	12.0193	no-hit	0	0	38.56
Scaffolds_369	5082	0.595	0	0	Proteobacteria	857	0	59.5
Scaffolds_370	7976	0.3739	0	0.0364	no-hit	0	0	37.39
Scaffolds_371	16051	0.7091	0	19.567	no-hit	0	0	70.91
Scaffolds_372	7322	0.3401	0	7.7159	no-hit	0	0	34.01
Scaffolds_373	17034	0.3909	0	4.2247	Proteobacteria	752	0	39.09
Scaffolds_374	75402	0.3824	0	19.3259	Chordata	228	0	38.24
Scaffolds_375	1631807	0.3935	0	20.4286	Chordata	228	0	39.35
Scaffolds_376	5867	0.466	0	3.1438	no-hit	0	0	46.6
Scaffolds_377	21089	0.3339	0	0.1067	Bacteroidetes	784	0	33.39
Scaffolds_378	6790	0.4807	0	1.0802	no-hit	0	0	48.07
Scaffolds_379	13830	0.5531	0	4.4788	Proteobacteria	2660	0	55.31
Scaffolds_380	17123	0.4003	0	11.459	no-hit	0	0	40.03
Scaffolds_381	6315	0.3489	0	0.0115	Bacteroidetes	542	0	34.89
Scaffolds_382	5127	0.5691	0	0.8923	no-hit	0	0	56.91
Scaffolds_383	18771	0.6299	0	0.1161	Proteobacteria	717	0	62.99
Scaffolds_384	6595	0.5683	0	3.3914	Proteobacteria	1528	0	56.83
Scaffolds_385	96796	0.7105	0	47.0621	Proteobacteria	6505	0	71.05
Scaffolds_386	14517	0.5534	0	2.7812	no-hit	0	0	55.34
Scaffolds_387	5092	0.4073	0	0	no-hit	0	0	40.73
Scaffolds_388	44036	0.5953	0	0.1979	Proteobacteria	2808	0	59.53
Scaffolds_389	5509	0.6386	0	0.1845	no-hit	0	0	63.86
Scaffolds_390	11037	0.4664	0	0	no-hit	0	0	46.64
Scaffolds_391	380229	0.3861	0	18.0349	Porifera	636	0	38.61
Scaffolds_392	9265	0.4066	0	4.107	no-hit	0	0	40.66
Scaffolds_393	1197368	0.3905	0	10.4799	Chordata	191	0	39.05
Scaffolds_394	20911	0.4265	0	0.0556	no-hit	0	0	42.65
Scaffolds_395	13601	0.3916	0	3.0646	Proteobacteria	178	0	39.16
Scaffolds_396	916768	0.3821	0	19.8002	Echinodermata	2942	0	38.21
Scaffolds_397	423971	0.3782	0	20.9734	Chordata	167	0	37.82
Scaffolds_398	5519	0.5108	0	0.0263	no-hit	0	0	51.08
Scaffolds_399	6146	0.378	0	0.1418	no-hit	0	0	37.8
Scaffolds_400	15250	0.5953	0	3.6904	Proteobacteria	3395	0	59.53
Scaffolds_401	5958	0.3525	0	0.0244	Bacteroidetes	1031	0	35.25
Scaffolds_402	14527	0.3829	0	9.3927	no-hit	0	0	38.29
Scaffolds_403	9836	0.5441	0	14.9945	no-hit	0	0	54.41
Scaffolds_404	8946	0.4041	0	1.0309	no-hit	0	0	40.41
Scaffolds_405	4556	0.6288	0	0.9245	no-hit	0	0	62.88
Scaffolds_406	38417	0.417	0	4.4515	Proteobacteria	147	0	41.7
Scaffolds_407	15137	0.7651	0	11.859	no-hit	0	0	76.51
Scaffolds_408	22059	0.4349	0	6.9724	Proteobacteria	193	0	43.49
Scaffolds_409	4440	0.6405	0	0	no-hit	0	0	64.05
Scaffolds_410	140549	0.3773	0	8.8469	no-hit	0	0	37.73
Scaffolds_411	19205	0.3878	0	11.8199	no-hit	0	0	38.78
Scaffolds_412	11283	0.3632	0	0.1158	no-hit	0	0	36.32
Scaffolds_413	13770	0.3511	0	0.0633	Bacteroidetes	1365	0	35.11
Scaffolds_414	38645	0.4879	0	2.7566	no-hit	0	0	48.79
Scaffolds_415	8190	0.6729	0	4.6106	Proteobacteria	534	0	67.29
Scaffolds_416	7931	0.519	0	0.0916	no-hit	0	0	51.9
Scaffolds_417	22129	0.5801	0	4.604	Proteobacteria	12922	0	58.01
Scaffolds_418	14954	0.4311	0	1.8744	no-hit	0	0	43.11
Scaffolds_419	25238	0.5634	0	0.1208	Proteobacteria	643	0	56.34
Scaffolds_420	4928	0.3803	0	0.0589	no-hit	0	0	38.03
Scaffolds_421	7015	0.6527	0	17.5047	Proteobacteria	411	0	65.27
Scaffolds_422	24167	0.387	0	0.0421	no-hit	0	0	38.7
Scaffolds_423	4775	0.6421	0	0.4714	no-hit	0	0	64.21
Scaffolds_424	108364	0.3935	0	12.4502	no-hit	0	0	39.35
Scaffolds_425	9084	0.4945	0	0.1759	no-hit	0	0	49.45
Scaffolds_426	40071	0.4861	0	7.2652	no-hit	0	0	48.61
Scaffolds_427	8220	0.5977	0	4.0637	Proteobacteria	3232	0	59.77
Scaffolds_428	33378	0.3723	0	30.0668	no-hit	0	0	37.23
Scaffolds_429	5995	0.4727	0	0	no-hit	0	0	47.27
Scaffolds_430	4946	0.3967	0	0.5286	no-hit	0	0	39.67
Scaffolds_431	4299	0.2589	0	0.5067	no-hit	0	0	25.89
Scaffolds_432	4046	0.6557	0	0.0359	no-hit	0	0	65.57
Scaffolds_433	11480	0.5614	0	4.3077	no-hit	0	0	56.14
Scaffolds_434	61813	0.4829	0	2.8489	no-hit	0	0	48.29
Scaffolds_435	8923	0.611	0	4.4516	Proteobacteria	3506	0	61.1
Scaffolds_436	8872	0.3265	0	0.0164	no-hit	0	0	32.65
Scaffolds_437	23164	0.5692	0	2.3669	Proteobacteria	135	0	56.92
Scaffolds_438	193899	0.383	0	20.1037	Porifera	171	0	38.3
Scaffolds_439	4691	0.3534	0	0.031	Bacteroidetes	758	0	35.34
Scaffolds_440	26510	0.3636	0	0.0904	Bacteroidetes	1387	0	36.36
Scaffolds_441	5245	0.6982	0	24.5334	Proteobacteria	281	0	69.82
Scaffolds_442	9333	0.5696	0	3.5169	no-hit	0	0	56.96
Scaffolds_443	18472	0.4663	0	8.3381	Proteobacteria	2254	0	46.63
Scaffolds_444	7954	0.6284	0	0.1278	Proteobacteria	619	0	62.84
Scaffolds_445	57604	0.5581	0	6.796	Proteobacteria	7142	0	55.81
Scaffolds_446	8587	0.3845	0	0.0677	no-hit	0	0	38.45
Scaffolds_447	12717	0.4782	0	2.4097	no-hit	0	0	47.82
Scaffolds_448	143470	0.5946	0	0.3148	Proteobacteria	2071	0	59.46
Scaffolds_449	10966	0.2611	0	6.3836	no-hit	0	0	26.11
Scaffolds_450	17245	0.4658	0	5.6932	Bacteria-undef	1940	0	46.58
Scaffolds_451	15249	0.3611	0	0.1333	no-hit	0	0	36.11
Scaffolds_452	6543	0.5751	0	4.5282	Proteobacteria	202	0	57.51
Scaffolds_453	4916	0.4687	0	0.0295	no-hit	0	0	46.87
Scaffolds_454	10043	0.5412	0	4.9024	Proteobacteria	1064	0	54.12
Scaffolds_455	6455	0.6691	0	0.3262	no-hit	0	0	66.91
Scaffolds_456	312949	0.4355	0	12.6813	Proteobacteria	459	0	43.55
Scaffolds_457	15846	0.5824	0	2.4151	Nitrospirae	675	0	58.24
Scaffolds_458	57439	0.5505	0	4.9786	Proteobacteria	1280	0	55.05
Scaffolds_459	47937	0.3837	0	22.6666	no-hit	0	0	38.37
Scaffolds_460	33105	0.3765	0	15.1245	no-hit	0	0	37.65
Scaffolds_461	6246	0.3248	0	0.1279	Proteobacteria	274	0	32.48
Scaffolds_462	21400	0.5838	0	4.1806	Proteobacteria	2970	0	58.38
Scaffolds_463	11828	0.6729	0	3.6837	Proteobacteria	891	0	67.29
Scaffolds_464	5666	0.3623	0	0.1538	Bacteroidetes	540	0	36.23
Scaffolds_465	5902	0.6452	0	0.0984	no-hit	0	0	64.52
Scaffolds_466	5262	0.3341	0	0	Bacteroidetes	381	0	33.41
Scaffolds_467	34799	0.3577	0	0.0501	Bacteroidetes	5854	0	35.77
Scaffolds_468	4575	0.3897	0	1.4444	no-hit	0	0	38.97
Scaffolds_469	7999	0.4234	0	4.3031	no-hit	0	0	42.34
Scaffolds_470	37583	0.6623	0	12.8567	Proteobacteria	872	0	66.23
Scaffolds_471	15991	0.5863	0	95.2547	Acidobacteria	176	0	58.63
Scaffolds_472	5413	0.6579	0	0.0268	no-hit	0	0	65.79
Scaffolds_473	4112	0.448	0	1.2185	no-hit	0	0	44.8
Scaffolds_474	4870	0.6133	0	2.6244	no-hit	0	0	61.33
Scaffolds_475	6141	0.6486	0	0.5085	no-hit	0	0	64.86
Scaffolds_476	10513	0.554	0	4.3309	Proteobacteria	2519	0	55.4
Scaffolds_477	17426	0.527	0	8.0677	no-hit	0	0	52.7
Scaffolds_478	43514	0.4522	0	0.0134	no-hit	0	0	45.22
Scaffolds_479	10828	0.5936	0	2.6692	Proteobacteria	254	0	59.36
Scaffolds_480	12436	0.6736	0	9.6815	Firmicutes	1301	0	67.36
Scaffolds_481	99177	0.5751	0	3.0005	Proteobacteria	2200	0	57.51
Scaffolds_482	11518	0.3769	0	12.83	no-hit	0	0	37.69
Scaffolds_483	4567	0.3492	0	4.2454	no-hit	0	0	34.92
Scaffolds_484	7935	0.3733	0	0.1373	no-hit	0	0	37.33
Scaffolds_485	21606	0.3668	0	32.3561	no-hit	0	0	36.68
Scaffolds_486	8168	0.4902	0	3.2095	Proteobacteria	189	0	49.02
Scaffolds_487	7488	0.5915	0	0.0291	Proteobacteria	383	0	59.15
Scaffolds_488	7710	0.6606	0	0.0848	Proteobacteria	773	0	66.06
Scaffolds_489	16005	0.5823	0	4.1833	Proteobacteria	8399	0	58.23
Scaffolds_490	33305	0.4264	0	3.6761	Proteobacteria	241	0	42.64
Scaffolds_491	12051	0.3726	0	0.1747	no-hit	0	0	37.26
Scaffolds_492	6116	0.3939	0	0	no-hit	0	0	39.39
Scaffolds_493	26186	0.6347	0	3.203	Proteobacteria	291	0	63.47
Scaffolds_494	6356	0.4036	0	10.054	no-hit	0	0	40.36
Scaffolds_495	17650	0.3797	0	3.7234	no-hit	0	0	37.97
Scaffolds_496	6203	0.3787	0	0.0702	no-hit	0	0	37.87
Scaffolds_497	16523	0.615	0	2.4172	Proteobacteria	291	0	61.5
Scaffolds_498	5741	0.7129	0	1.5685	no-hit	0	0	71.29
Scaffolds_499	9874	0.6721	0	11.6273	Proteobacteria	252	0	67.21
Scaffolds_500	53302	0.535	0	0.0777	no-hit	0	0	53.5
Scaffolds_501	97044	0.5956	0	0.1362	Proteobacteria	4693	0	59.56
Scaffolds_502	4631	0.352	0	0.0314	Bacteroidetes	990	0	35.2
Scaffolds_503	19381	0.553	0	2.8026	no-hit	0	0	55.3
Scaffolds_504	9447	0.5803	0	4.4353	Proteobacteria	2756	0	58.03
Scaffolds_505	112811	0.3905	0	17.3408	no-hit	0	0	39.05
Scaffolds_506	24907	0.6792	0	10.0498	no-hit	0	0	67.92
Scaffolds_507	6896	0.4891	0	2.4641	no-hit	0	0	48.91
Scaffolds_508	13129	0.6367	0	0.4591	Proteobacteria	1195	0	63.67
Scaffolds_509	11131	0.463	0	3.412	no-hit	0	0	46.3
Scaffolds_510	24408	0.4873	0	2.6836	no-hit	0	0	48.73
Scaffolds_511	13564	0.4162	0	3.6726	no-hit	0	0	41.62
Scaffolds_512	4977	0.5453	0	18.2382	no-hit	0	0	54.53
Scaffolds_513	24573	0.7086	0	7.976	Proteobacteria	390	0	70.86
Scaffolds_514	25927	0.4944	0	2.7364	no-hit	0	0	49.44
Scaffolds_515	14254	0.578	0	3.9126	Proteobacteria	7012	0	57.8
Scaffolds_516	735519	0.3793	0	22.3919	Chordata	239	0	37.93
Scaffolds_517	11313	0.5842	0	4.0696	Proteobacteria	2684	0	58.42
Scaffolds_518	54078	0.6616	0	23.3651	Planctomycetes	150	0	66.16
Scaffolds_519	20795	0.3802	0	0.021	no-hit	0	0	38.02
Scaffolds_520	1367625	0.3873	0	19.567	Cnidaria	285	0	38.73
Scaffolds_521	11686	0.3953	0	9.1906	no-hit	0	0	39.53
Scaffolds_522	5911	0.4981	0	0.0246	no-hit	0	0	49.81
Scaffolds_523	13736	0.7086	0	8.4163	no-hit	0	0	70.86
Scaffolds_524	6151	0.3843	0	0.0236	no-hit	0	0	38.43
Scaffolds_525	10985	0.5707	0	0	Uroviricota	305	0	57.07
Scaffolds_526	579093	0.3836	0	20.1418	Chordata	154	0	38.36
Scaffolds_527	6558	0.3663	0	17.8498	no-hit	0	0	36.63
Scaffolds_528	5416	0.6204	0	1.314	no-hit	0	0	62.04
Scaffolds_529	31225	0.379	0	6.4838	no-hit	0	0	37.9
Scaffolds_530	5738	0.3785	0	0.0253	no-hit	0	0	37.85
Scaffolds_531	18252	0.4811	0	0.6764	no-hit	0	0	48.11
Scaffolds_532	20981	0.4891	0	2.6408	no-hit	0	0	48.91
Scaffolds_533	12939	0.3785	0	17.6562	no-hit	0	0	37.85
Scaffolds_534	18076	0.4332	0	0.9119	Proteobacteria	508	0	43.32
Scaffolds_535	21026	0.4019	0	13.6766	no-hit	0	0	40.19
Scaffolds_536	8294	0.4448	0	1.217	no-hit	0	0	44.48
Scaffolds_537	226299	0.3768	0	19.1158	Chordata	145	0	37.68
Scaffolds_538	8781	0.438	0	0	no-hit	0	0	43.8
Scaffolds_539	7218	0.5772	0	5.2013	Proteobacteria	4724	0	57.72
Scaffolds_540	5858	0.6209	0	0.1735	no-hit	0	0	62.09
Scaffolds_541	14040	0.385	0	0.0517	Bacteroidetes	1622	0	38.5
Scaffolds_542	8078	0.5615	0	3.8565	Proteobacteria	4957	0	56.15
Scaffolds_543	4456	0.621	0	2.1511	Proteobacteria	167	0	62.1
Scaffolds_544	29049	0.4796	0	2.7023	no-hit	0	0	47.96
Scaffolds_545	26782	0.3618	0	14.5088	no-hit	0	0	36.18
Scaffolds_546	16522	0.6815	0	4.9138	Proteobacteria	998	0	68.15
Scaffolds_547	7630	0.3758	0	11.8396	no-hit	0	0	37.58
Scaffolds_548	6912	0.6019	0	4.2024	Proteobacteria	4181	0	60.19
Scaffolds_549	26531	0.366	0	0.0383	Bacteroidetes	2026	0	36.6
Scaffolds_550	7786	0.3992	0	0.0933	no-hit	0	0	39.92
Scaffolds_551	13576	0.4546	0	1.1607	no-hit	0	0	45.46
Scaffolds_552	5088	0.5894	0	4.6242	Proteobacteria	3563	0	58.94
Scaffolds_553	15826	0.6075	0	2.2805	no-hit	0	0	60.75
Scaffolds_554	9055	0.532	0	3.7933	Proteobacteria	464	0	53.2
Scaffolds_555	323962	0.3807	0	19.5471	no-hit	0	0	38.07
Scaffolds_556	23993	0.427	0	10.923	Firmicutes	1022	0	42.7
Scaffolds_557	123366	0.3795	0	11.4383	no-hit	0	0	37.95
Scaffolds_558	19941	0.2391	0	1.2381	no-hit	0	0	23.91
Scaffolds_559	14552	0.429	0	4.9453	no-hit	0	0	42.9
Scaffolds_560	9362	0.5528	0	4.2351	Proteobacteria	2021	0	55.28
Scaffolds_561	5969	0.5957	0	3.9417	Proteobacteria	2047	0	59.57
Scaffolds_562	13346	0.6188	0	6.9755	Proteobacteria	433	0	61.88
Scaffolds_563	8576	0.6337	0	0.0423	Proteobacteria	496	0	63.37
Scaffolds_564	17627	0.4831	0	0.0536	no-hit	0	0	48.31
Scaffolds_565	14227	0.3675	0	0.0613	Bacteroidetes	630	0	36.75
Scaffolds_566	9558	0.6545	0	0.0912	no-hit	0	0	65.45
Scaffolds_567	7001	0.3747	0	0.0519	Bacteroidetes	704	0	37.47
Scaffolds_568	22976	0.6226	0	1.3243	Proteobacteria	811	0	62.26
Scaffolds_569	13548	0.4764	0	0.0858	no-hit	0	0	47.64
Scaffolds_570	7672	0.3445	0	0.1136	Bacteroidetes	1040	0	34.45
Scaffolds_571	5347	0.3434	0	0.0543	Bacteroidetes	442	0	34.34
Scaffolds_572	8037	0.4616	0	0.0361	no-hit	0	0	46.16
Scaffolds_573	10335	0.6878	0	12.7528	Proteobacteria	337	0	68.78
Scaffolds_574	186373	0.3847	0	20.3926	no-hit	0	0	38.47
Scaffolds_575	8923	0.5387	0	7.9999	Proteobacteria	2521	0	53.87
Scaffolds_576	8654	0.4906	0	1.2503	Chlamydiae	165	0	49.06
Scaffolds_577	16911	0.4705	0	0.0644	no-hit	0	0	47.05
Scaffolds_578	7662	0.5817	0	4.1227	Proteobacteria	2368	0	58.17
Scaffolds_579	4735	0.3354	0	0.0613	no-hit	0	0	33.54
Scaffolds_580	19393	0.3776	0	14.9031	no-hit	0	0	37.76
Scaffolds_581	10113	0.6057	0	0.0144	Proteobacteria	446	0	60.57
Scaffolds_582	11122	0.6079	0	20.2142	no-hit	0	0	60.79
Scaffolds_583	21175	0.5931	0	13.6661	no-hit	0	0	59.31
Scaffolds_584	7027	0.4419	0	3.6582	Proteobacteria	490	0	44.19
Scaffolds_585	5327	0.6112	0	0.0545	no-hit	0	0	61.12
Scaffolds_586	13729	0.5402	0	6.8391	Proteobacteria	1160	0	54.02
Scaffolds_587	4929	0.3871	0	0	Bacteroidetes	1417	0	38.71
Scaffolds_588	20469	0.3151	0	263.9464	no-hit	0	0	31.51
Scaffolds_589	9727	0.3903	0	15.1998	no-hit	0	0	39.03
Scaffolds_590	144802	0.3858	0	6.9507	no-hit	0	0	38.58
Scaffolds_591	73357	0.3797	0	16.6603	no-hit	0	0	37.97
Scaffolds_592	52955	0.6056	0	2.6356	Proteobacteria	667	0	60.56
Scaffolds_593	16750	0.5647	0	2.5449	no-hit	0	0	56.47
Scaffolds_594	14781	0.4808	0	3.0705	no-hit	0	0	48.08
Scaffolds_595	6162	0.5758	0	4.3957	Proteobacteria	3766	0	57.58
Scaffolds_596	5599	0.4392	0	4.4356	no-hit	0	0	43.92
Scaffolds_597	32313	0.57	0	4.2002	Proteobacteria	7437	0	57
Scaffolds_598	13338	0.4222	0	3.5987	no-hit	0	0	42.22
Scaffolds_599	13710	0.6137	0	0.1112	Proteobacteria	300	0	61.37
Scaffolds_600	4957	0.4606	0	6.4018	no-hit	0	0	46.06
Scaffolds_601	18964	0.4763	0	2.3588	no-hit	0	0	47.63
Scaffolds_602	7955	0.5698	0	4.4364	Proteobacteria	2248	0	56.98
Scaffolds_603	20262	0.4047	0	16.3964	no-hit	0	0	40.47
Scaffolds_604	6023	0.3957	0	0	no-hit	0	0	39.57
Scaffolds_605	16375	0.5825	0	4.0577	Proteobacteria	1934	0	58.25
Scaffolds_606	47074	0.5827	0	4.1064	Proteobacteria	13439	0	58.27
Scaffolds_607	5569	0.3866	0	0	no-hit	0	0	38.66
Scaffolds_608	8848	0.5824	0	3.9723	Proteobacteria	3690	0	58.24
Scaffolds_609	773658	0.3952	0	10.5282	Cnidaria	1079	0	39.52
Scaffolds_610	13197	0.263	0	6.0638	no-hit	0	0	26.3
Scaffolds_611	11136	0.3658	0	10.8769	no-hit	0	0	36.58
Scaffolds_612	6072	0.3523	0	0.0478	Bacteroidetes	1037	0	35.23
Scaffolds_613	4513	0.5116	0	1.8343	no-hit	0	0	51.16
Scaffolds_614	15601	0.3329	0	0.121	Bacteroidetes	1522	0	33.29
Scaffolds_615	10685	0.4963	0	0.0272	no-hit	0	0	49.63
Scaffolds_616	14208	0.6949	0	11.9035	no-hit	0	0	69.49
Scaffolds_617	4777	0.3586	0	0.076	Bacteroidetes	1243	0	35.86
Scaffolds_618	5950	0.5055	0	0.476	no-hit	0	0	50.55
Scaffolds_619	16198	0.5837	0	4.5145	Proteobacteria	2828	0	58.37
Scaffolds_620	5005	0.3461	0	0.0871	Bacteroidetes	261	0	34.61
Scaffolds_621	6410	0.3282	0	0.068	Bacteroidetes	920	0	32.82
Scaffolds_622	121638	0.7188	0	47.0987	Proteobacteria	1611	0	71.88
Scaffolds_623	6790	0.3851	0	0.0642	no-hit	0	0	38.51
Scaffolds_624	11857	0.4717	0	2.8846	no-hit	0	0	47.17
Scaffolds_625	98524	0.5756	0	2.6917	Proteobacteria	442	0	57.56
Scaffolds_626	46756	0.4855	0	2.8686	no-hit	0	0	48.55
Scaffolds_627	17633	0.6205	0	0.0165	Proteobacteria	455	0	62.05
Scaffolds_628	7849	0.5963	0	7.3829	Proteobacteria	734	0	59.63
Scaffolds_629	4743	0.6329	0	0.0306	Proteobacteria	381	0	63.29
Scaffolds_630	14210	0.5947	0	4.5941	Proteobacteria	1919	0	59.47
Scaffolds_631	5942	0.59	0	4.5829	Proteobacteria	2798	0	59
Scaffolds_632	19767	0.379	0	16.6417	no-hit	0	0	37.9
Scaffolds_633	160779	0.3794	0	25.0052	no-hit	0	0	37.94
Scaffolds_634	14083	0.5991	0	2.2997	Proteobacteria	416	0	59.91
Scaffolds_635	6749	0.6189	0	0.043	Proteobacteria	340	0	61.89
Scaffolds_636	12453	0.5992	0	1.2129	no-hit	0	0	59.92
Scaffolds_637	9820	0.5635	0	1.1684	no-hit	0	0	56.35
Scaffolds_638	5766	0.3337	0	0	Bacteroidetes	529	0	33.37
Scaffolds_639	4252	0.663	0	0.1537	no-hit	0	0	66.3
Scaffolds_640	10133	0.5912	0	2.3864	no-hit	0	0	59.12
Scaffolds_641	4468	0.4346	0	6.5661	no-hit	0	0	43.46
Scaffolds_642	13724	0.5628	0	4.27	Proteobacteria	817	0	56.28
Scaffolds_643	238000	0.3749	0	11.6023	no-hit	0	0	37.49
Scaffolds_644	1777800	0.3934	0	21.2686	Echinodermata	931	0	39.34
Scaffolds_645	367440	0.3827	0	18.5013	Nematoda	185	0	38.27
Scaffolds_646	20468	0.7174	0	29.7699	no-hit	0	0	71.74
Scaffolds_647	1577474	0.3876	0	10.3542	Chordata	287	0	38.76
Scaffolds_648	15412	0.4598	0	2.7187	no-hit	0	0	45.98
Scaffolds_649	5876	0.4377	0	8.107	no-hit	0	0	43.77
Scaffolds_650	23083	0.5273	0	23.8807	no-hit	0	0	52.73
Scaffolds_651	15206	0.4928	0	3.171	no-hit	0	0	49.28
Scaffolds_652	145142	0.6033	0	0.1861	Proteobacteria	2161	0	60.33
Scaffolds_653	8230	0.4671	0	6.4411	no-hit	0	0	46.71
Scaffolds_654	5641	0.3909	0	0.0257	no-hit	0	0	39.09
Scaffolds_655	7460	0.6507	0	11.3696	no-hit	0	0	65.07
Scaffolds_656	160788	0.374	0	15.9503	no-hit	0	0	37.4
Scaffolds_657	18584	0.6917	0	2.6688	Proteobacteria	2571	0	69.17
Scaffolds_658	18196	0.4203	0	1.0735	no-hit	0	0	42.03
Scaffolds_659	5578	0.4385	0	1.1847	no-hit	0	0	43.85
Scaffolds_660	16019	0.4691	0	3.0191	no-hit	0	0	46.91
Scaffolds_661	4730	0.6184	0	0	no-hit	0	0	61.84
Scaffolds_662	4607	0.596	0	3.9248	Proteobacteria	966	0	59.6
Scaffolds_663	11730	0.5463	0	10.4499	no-hit	0	0	54.63
Scaffolds_664	18032	0.4198	0	4.2969	Proteobacteria	664	0	41.98
Scaffolds_665	13749	0.4664	0	0.0317	no-hit	0	0	46.64
Scaffolds_666	67645	0.3781	0	17.0226	no-hit	0	0	37.81
Scaffolds_667	6542	0.4482	0	0.0222	no-hit	0	0	44.82
Scaffolds_668	22804	0.5712	0	4.2002	Proteobacteria	3771	0	57.12
Scaffolds_669	20521	0.5899	0	4.1579	Proteobacteria	5971	0	58.99
Scaffolds_670	9626	0.3238	0	0.0528	Bacteroidetes	900	0	32.38
Scaffolds_671	18721	0.4356	0	7.2458	no-hit	0	0	43.56
Scaffolds_672	8171	0.3459	0	17.4989	no-hit	0	0	34.59
Scaffolds_673	10474	0.5646	0	11.0305	Proteobacteria	505	0	56.46
Scaffolds_674	45262	0.3753	0	22.5864	Cnidaria	154	0	37.53
Scaffolds_675	1926824	0.3912	0	20.2405	Porifera	364	0	39.12
Scaffolds_676	1190679	0.5948	0	1.4218	Proteobacteria	1480	0	59.48
Scaffolds_677	11663	0.4177	0	7.1789	no-hit	0	0	41.77
Scaffolds_678	5694	0.3704	0	6.2874	no-hit	0	0	37.04
Scaffolds_679	5096	0.6525	0	0.5842	no-hit	0	0	65.25
Scaffolds_680	7373	0.2413	0	1.7728	no-hit	0	0	24.13
Scaffolds_681	18840	0.5989	0	3.3765	Proteobacteria	8924	0	59.89
Scaffolds_682	403051	0.3925	0	21.2878	Porifera	196	0	39.25
Scaffolds_683	32764	0.5698	0	2.9389	no-hit	0	0	56.98
Scaffolds_684	48340	0.3917	0	13.6762	no-hit	0	0	39.17
Scaffolds_685	27793	0.5714	0	4.6952	Proteobacteria	6791	0	57.14
Scaffolds_686	17220	0.7186	0	26.4112	no-hit	0	0	71.86
Scaffolds_687	8902	0.6678	0	11.3062	no-hit	0	0	66.78
Scaffolds_688	5470	0.3925	0	0	no-hit	0	0	39.25
Scaffolds_689	16941	0.5641	0	3.9864	Proteobacteria	139	0	56.41
Scaffolds_690	5833	0.4305	0	9.723	no-hit	0	0	43.05
Scaffolds_691	227001	0.3816	0	10.2179	Chordata	195	0	38.16
Scaffolds_692	10615	0.6122	0	0.0274	Proteobacteria	900	0	61.22
Scaffolds_693	20962	0.6925	0	48.766	no-hit	0	0	69.25
Scaffolds_694	136172	0.3886	0	19.1873	no-hit	0	0	38.86
Scaffolds_695	18913	0.4693	0	0.0538	no-hit	0	0	46.93
Scaffolds_696	21028	0.5868	0	4.4168	Proteobacteria	4776	0	58.68
Scaffolds_697	6817	0.3889	0	2.9614	no-hit	0	0	38.89
Scaffolds_698	366300	0.3868	0	24.8015	Cnidaria	292	0	38.68
